lo_en,hi_en,rate_00000RESOLVE,Lx_00000RESOLVE
0.5,2.0,1.299124364e-08,1.186128125e-05
0.1,2.4,5.925403531e-08,1.925208898e-05
0.01,100.0,1.543808828e-06,3.848364866e-05
