lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,258.9837037,162.8444984,78.63886159,162.8307932,77.349668,162.8307932
0.1,2.4,390.8339825,265.3537727,104.7022988,265.3581937,100.2048444,265.3581937
0.01,100.0,456.3438,462.5636074,124.1937687,473.5977585,119.7978729,473.5977585
