lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,245.4184843,138.3956247,75.77173175,138.4049763,74.62642641,138.4049763
0.1,2.4,347.3015684,224.3243335,97.51135172,224.3320953,93.85992191,224.3320953
0.01,100.0,416.6453415,451.3922978,121.3333116,452.8928833,118.1692712,452.8928833
