lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,259.4242692,150.906372,78.95452898,150.931432,77.67532704,150.931432
0.1,2.4,390.0757102,245.5022943,104.9733874,245.5080781,100.5268803,245.5080781
0.01,100.0,458.8190027,444.0696469,125.8117022,452.3726404,121.5271201,452.3726404
