name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes
MCXCJ0049.4-2931,J0049.4-2931,84,12.35,-29.52444444,0.1084,1.438047,2.3682,0.9086,RXCJ0049.4-2931,S84,
MCXCJ0056.3-0112,J0056.3-0112,85,14.07625,-1.216666667,0.0442,1.437223,2.4747,0.9413,RXCJ0056.3-0112,A119,"L,losStr"
MCXCJ0020.6+2840,J0020.6+2840,86,5.170416667,28.675,0.094,1.434697,2.389,0.9156,RXCJ0020.6+2840,A21,
MCXCJ0819.6+6336,J0819.6+6336,87,124.9129167,63.61,0.119,1.43439,2.3468,0.9026,RXCJ0819.6+6336,RXJ0819.6+6336,
MCXCJ2312.3-2130,J2312.3-2130,88,348.08625,-21.50055556,0.1108,1.431443,2.3576,0.9065,RXCJ2312.3-2130,A2554,losStr
MCXCJ1511.3+0619,J1511.3+0619,89,227.8479167,6.318888889,0.0817,1.406968,2.3811,0.9183,A2033,A2033,
MCXCJ2319.1-4206,J2319.1-4206,90,349.775,-42.11388889,0.045,1.405897,2.4403,0.9367,MS2316.3-4222,ACOS1111,
MCXCJ0028.6-2338,J0028.6-2338,91,7.16375,-23.63722222,0.112,1.404549,2.3285,0.9024,RXCJ0028.6-2338,A42,
MCXCJ1244.6-1159,J1244.6-1159,92,191.1583333,-11.98527778,0.0963,1.375433,2.3246,0.9066,RXCJ1244.6-1159,A1606,
MCXCJ1336.1+5912,J1336.1+5912,93,204.0254167,59.20777778,0.0701,1.370998,2.3626,0.9193,RXCJ1336.1+5912,A1767,
MCXCJ1442.3+2218,J1442.3+2218,94,220.5766667,22.30472222,0.0901,1.364553,2.3234,0.9083,RXCJ1442.3+2218,UGC09480,
MCXCJ1602.3+1601,J1602.3+1601,95,240.5779167,16.02,0.0353,1.35838,2.4052,0.9351,A2147,A2147,
MCXCJ2354.2-1024,J2354.2-1024,96,358.5558333,-10.41277778,0.0765,1.336537,2.316,0.9113,RXCJ2354.2-1024,A2670,"B,losStr"
MCXCJ1257.2-3022,J1257.2-3022,97,194.3204167,-30.37694444,0.0554,1.323277,2.3354,0.9201,RXCJ1257.2-3022,A3532,"B,GR5"
MCXCJ0912.4+1556,J0912.4+1556,98,138.1241667,15.94305556,0.0851,1.312476,2.2769,0.9037,A763,A763,
MCXCJ1516.5-0056,J1516.5-0056,99,229.1416667,0.948888889,0.1198,1.296543,2.2053,0.8839,RXCJ1516.5-0056,A2051,
MCXCJ1349.3+2806,J1349.3+2806,100,207.34,28.10361111,0.0748,1.273561,2.2515,0.9033,RXCJ1349.3+2806,A1800,
MCXCJ0034.6-0208,J0034.6-0208,101,8.65,-2.14,0.0812,1.253723,2.2202,0.8972,RXCJ0034.6-0208,,"DL,two maxima/E-W"
MCXCJ1601.3+5354,J1601.3+5354,102,240.3475,53.90611111,0.1068,1.238344,2.1643,0.8822,RXCJ1601.3+5354,A2149,
MCXCJ0013.6-1930,J0013.6-1930,103,3.409583333,-19.50222222,0.094,1.236332,2.1818,0.8883,RXCJ0013.6-1930,A13,losStr
MCXCJ0034.2-0204,J0034.2-0204,104,8.557916667,-2.075277778,0.0822,1.230023,2.193,0.8933,RXCJ0034.2-0204,SH518,
MCXCJ2359.9-3928,J2359.9-3928,105,359.9820833,-39.47972222,0.1024,1.22609,2.1579,0.8826,RXCJ2359.9-3928,A4068,
MCXCJ1139.4-3327,J1139.4-3327,106,174.86375,-33.45388889,0.1076,1.21861,2.142,0.8789,RXCJ1139.4-3327,,
MCXCJ2316.1-2027,J2316.1-2027,107,349.03125,-20.45527778,0.0822,1.211831,2.1731,0.8906,RXCJ2316.1-2027,A2566,
MCXCJ1006.6+2554,J1006.6+2554,108,151.6645833,25.91,0.1162,1.197113,2.106,0.8715,RXCJ1006.6+2554,A923,
MCXCJ1431.1+2538,J1431.1+2538,109,217.7795833,25.63888889,0.0908,1.191519,2.138,0.8833,RXCJ1431.1+2538,A1927,
MCXCJ0726.0+4122,J0726.0+4122,110,111.5020833,41.38222222,0.112,1.171477,2.0846,0.8697,RXCJ0726.0+4122,A580,
MCXCJ0212.8-4707,J0212.8-4707,111,33.22458333,-47.13277778,0.115,1.162194,2.0701,0.8668,RXCJ0212.8-4707,A2988,
MCXCJ0107.8-3643,J0107.8-3643,112,16.95458333,-36.72722222,0.1186,1.156778,2.0589,0.8642,RXCJ0107.8-3643,A2871,
MCXCJ1332.9-2519,J1332.9-2519,113,203.2325,-25.32388889,0.1199,1.139833,2.0385,0.861,RXCJ1332.9-2519,,X
MCXCJ1523.0+0836,J1523.0+0836,114,230.7725,8.6025,0.0355,1.138819,2.1598,0.902,RXCJ1523.0+0836,A2063,
MCXCJ1659.7+3236,J1659.7+3236,115,254.9366667,32.61361111,0.1013,1.121587,2.0454,0.8673,RXCJ1659.7+3236,A2241,
MCXCJ0821.0+0751,J0821.0+0751,116,125.2575,7.866111111,0.11,1.110969,2.0211,0.8614,RXCJ0821.0+0751,RXJ0820.9+0751,
MCXCJ2205.6-0535,J2205.6-0535,117,331.41875,-5.593333333,0.0582,1.108636,2.0925,0.8862,RXCJ2205.6-0535,A2415,B
MCXCJ0330.0-5235,J0330.0-5235,118,52.50291667,-52.59611111,0.0624,1.101682,2.0786,0.8831,RXCJ0330.0-5235,A3128,"DL,two maxima/NE-SW"
MCXCJ1027.9-0647,J1027.9-0647,119,156.9983333,-6.796111111,0.1176,1.095941,1.9936,0.8553,RXCJ1027.9-0647,A1023,X *
MCXCJ1254.6-2913,J1254.6-2913,120,193.6725,-29.22333333,0.0544,1.093054,2.0799,0.8855,RXCJ1254.6-2913,A3528,"PB,GR4"
MCXCJ1113.3+0231,J1113.3+0231,121,168.33625,2.532222222,0.078,1.090082,2.0432,0.8736,RXCJ1113.3+0231,A1205,
MCXCJ0759.7+5400,J0759.7+5400,122,119.9283333,54.00166667,0.1032,1.08801,2.0052,0.861,RXCJ0759.7+5400,ZwCl0755.8+5408,
MCXCJ0011.3-2851,J0011.3-2851,123,2.83625,-28.855,0.062,1.086002,2.0611,0.8807,RXCJ0011.3-2851,A2734,losStr
MCXCJ2145.9-1006,J2145.9-1006,124,326.4783333,-10.10444444,0.0808,1.085118,2.0336,0.8715,RXCJ2145.9-1006,A2377,"P,GR9"
MCXCJ0425.8-0833,J0425.8-0833,125,66.46416667,-8.559166667,0.0397,1.080714,2.0861,0.8905,RXCJ0425.8-0833,RBS0540,X
MCXCJ2350.5+2931,J2350.5+2931,126,357.6441667,29.53111111,0.095,1.074818,2.0019,0.8629,ZwCl9077,ZwCl9077,
MCXCJ1111.6+4050,J1111.6+4050,127,167.9104167,40.8425,0.0794,1.06392,2.0112,0.8687,RXCJ1111.6+4050,A1190,
MCXCJ0910.6-1034,J0910.6-1034,128,137.65125,-10.58111111,0.0916,1.063423,1.9936,0.8627,RXCJ0910.6-1034,A761,
MCXCJ0155.1+3355,J0155.1+3355,129,28.78958333,33.92222222,0.0872,1.052481,1.9872,0.863,RXCJ0155.1+3355,A272,B
MCXCJ2359.3-6042,J2359.3-6042,130,359.83,-60.7,0.0989,1.051539,1.9699,0.8572,RXCJ2359.3-6042,A4067,
MCXCJ2158.4-6023,J2158.4-6023,131,329.6133333,-60.39944444,0.075,1.050267,2.0015,0.8685,RXCJ2158.4-6023,A3825,losStr
MCXCJ1353.0+0509,J1353.0+0509,132,208.2541667,5.155,0.0788,1.044658,1.9898,0.8657,RXCJ1353.0+0509,A1809,
MCXCJ0049.8+2426,J0049.8+2426,133,12.45208333,24.44111111,0.0815,1.04296,1.9841,0.8641,A104,A104,
MCXCJ2347.7-2808,J2347.7-2808,134,356.93,-28.14138889,0.03,1.029501,2.0383,0.8863,RXCJ2347.7-2808,A4038,L
MCXCJ0314.3-4525,J0314.3-4525,135,48.5825,-45.42416667,0.0718,1.027456,1.9792,0.8662,RXCJ0314.3-4525,A3104,
MCXCJ1413.7+4339,J1413.7+4339,136,213.43125,43.66333333,0.089,1.02386,1.9516,0.8573,RXCJ1413.7+4339,A1885,
MCXCJ2125.2-0657,J2125.2-0657,137,321.3016667,-6.965555556,0.1153,1.018847,1.91,0.8438,RXCJ2125.2-0657,,
MCXCJ1359.2+2758,J1359.2+2758,138,209.8229167,27.97277778,0.0612,1.016556,1.9807,0.8693,RXCJ1359.2+2758,A1831,
MCXCJ0448.2-2028,J0448.2-2028,139,72.05083333,-20.46972222,0.072,1.004022,1.9513,0.862,RXCJ0448.2-2028,A514,losStr
MCXCJ2323.8+1648,J2323.8+1648,140,350.9729167,16.80888889,0.0416,1.002026,1.9896,0.876,A2589,A2589,
MCXCJ1416.8-1158,J1416.8-1158,141,214.2145833,-11.97611111,0.0982,1.001648,1.9133,0.8491,RXCJ1416.8-1158,,X
MCXCJ1459.0-0843,J1459.0-0843,142,224.7645833,-8.725,0.1043,1.001337,1.9047,0.8461,RXCJ1459.0-0843,,
MCXCJ0041.7+2124,J0041.7+2124,143,10.44625,21.41388889,0.1014,1.000012,1.9071,0.8473,RXCJ0041.7+2124,A84,
