lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,261.7657584,154.1222489,79.4865212,154.1197039,78.18506351,154.1197039
0.1,2.4,400.0619937,250.8408021,106.687017,250.8448325,102.0980532,250.8448325
0.01,100.0,471.9551656,452.0638077,127.5088847,460.7983021,123.0003137,460.7983021
