ObsID,ra,dec
0904610401,230.341667,7.431111
0904611101,230.341667,7.431111
0904610301,230.754167,7.607778
0921880301,67.508500,-61.373750
0921881001,67.508500,-61.373750
0921880401,67.718583,-61.565167
0921881101,67.718583,-61.565167
0921880801,67.718583,-61.565167
0921881501,67.718583,-61.565167
0920740101,12.457625,24.450556
0920740501,12.457625,24.450556
0921880501,68.005125,-61.292611
0921881301,68.005125,-61.292611
0921880601,68.133417,-61.506250
0921881401,68.133417,-61.506250
