name,MCXC,LoVoCCSID,ra,dec,redshift,L500,M500,R500,alt_name,other_names,Notes,sub_samp,LoVoCCS_name,Name,RA,DEC,Redshift,Newly processed,Fully observed,Comments,XMM_R500_FRAC,CHANDRA_R500_FRAC,y500,log_y500
MCXCJ0314.3-4525,J0314.3-4525,135,48.5825,-45.42416667,0.0718,1.027456,1.9792,0.8662,RXCJ0314.3-4525,A3104,,south,LoVoCCS-135,A3104,48.58,-45.42,0.0718,,partially,,0.9996824388694824,0.0,6.047112840605746e-06,-5.218451927277112
MCXCJ0448.2-2028,J0448.2-2028,139,72.05083333,-20.46972222,0.072,1.004022,1.9513,0.862,RXCJ0448.2-2028,A514,losStr,south,LoVoCCS-139,A514,72.05,-20.47,0.072,,partially,,1.0,0.75136,1.2299197478810225e-05,-4.910123225300023
MCXCJ2323.8+1648,J2323.8+1648,140,350.9729167,16.80888889,0.0416,1.002026,1.9896,0.876,A2589,A2589,,north,LoVoCCS-140,A2589,350.97,16.81,0.0416,,no,,0.7031861375069871,0.9210732252655116,9.660281769662616e-06,-5.015010205962874
MCXCJ1558.3-1410,J1558.3-1410,19,239.5966667,-14.16777778,0.097,3.179797,3.8731,1.0745,RXCJ1558.3-1410,,B,south,LoVoCCS-19,RXCJ1558.3-1410,239.6,-14.17,0.097,,yes,,1.0,0.7518743305962157,1.1978569426959503e-05,-4.9215950456424995
MCXCJ1217.6+0339,J1217.6+0339,27,184.4191667,3.6625,0.0766,2.744796,3.5915,1.0548,RXCJ1217.6+0339,ZwCl1215,,south,LoVoCCS-27,RXCJ1217.6+0339,184.42,3.66,0.0766,1.0,yes,,1.0,0.960231381055676,3.8151999253630234e-05,-4.418482699070317
MCXCJ1539.5-8335,J1539.5-8335,39,234.89125,-83.59222222,0.0728,2.235082,3.177,1.0138,RXCJ1539.5-8335,,,south,LoVoCCS-39,RXCJ1539.5-8335,234.89,-83.59,0.0728,1.0,yes,,1.0,0.954729568739576,4.164955605551398e-06,-5.3803896233968835
MCXCJ2344.2-0422,J2344.2-0422,52,356.0666667,-4.3675,0.0786,1.852614,2.8221,0.9727,RXCJ2344.2-0422,,,south,LoVoCCS-52,RXCJ2344.2-0422,356.07,-4.37,0.0786,,yes,,1.0,0.973551263001486,1.7429428287550958e-05,-4.758716858193162
MCXCJ1215.4-3900,J1215.4-3900,54,183.8708333,-39.01527778,0.119,1.834651,2.7267,0.9489,RXCJ1215.4-3900,,,south,LoVoCCS-54,RXCJ1215.4-3900,183.87,-39.02,0.119,1.0,yes,,0.0,0.99870214146658,2.6705451536882983e-05,-4.573400074563639
MCXCJ2313.9-4244,J2313.9-4244,55,348.4941667,-42.73388889,0.0564,1.811143,2.8261,0.9802,RXCJ2313.9-4244,S1101,,south,LoVoCCS-55,RXCJ2313.9-4244,348.49,-42.73,0.0564,1.0,yes,No clear lensing signal. Could be affected by nearby clusters. Close to ACOS1111.,0.9896972578855604,0.9587890315422412,5.567213102739042e-06,-5.254362154376138
MCXCJ2218.2-0350,J2218.2-0350,59,334.57125,-3.834166667,0.0901,1.725034,2.6804,0.9526,RXCJ2218.2-0350,MS2215,"D,two maxima/NEE-SWW",south,LoVoCCS-59,RXCJ2218.2-0350,334.57,-3.83,0.0901,1.0,yes,Unrelaxed,1.0,0.9964525029562477,1.8527165009049617e-05,-4.7321910304987345
MCXCJ0049.4-2931,J0049.4-2931,84,12.35,-29.52444444,0.1084,1.438047,2.3682,0.9086,RXCJ0049.4-2931,S84,,south,LoVoCCS-84,RXCJ0049.4-2931,12.35,-29.52,0.1084,,partially,,1.0,0.0,6.271996112544398e-06,-5.2025942195042685
MCXCJ0034.6-0208,J0034.6-0208,101,8.65,-2.14,0.0812,1.253723,2.2202,0.8972,RXCJ0034.6-0208,,"DL,two maxima/E-W",south,LoVoCCS-101,RXCJ0034.6-0208,8.65,-2.14,0.0812,,partially,,1.0,0.0,1.1452610948240542e-05,-4.941095492263056
MCXCJ0034.2-0204,J0034.2-0204,104,8.557916667,-2.075277778,0.0822,1.230023,2.193,0.8933,RXCJ0034.2-0204,SH518,,south,LoVoCCS-104,RXCJ0034.2-0204,8.56,-2.08,0.0822,,partially,,0.9377149407718762,0.0,9.109001157935962e-06,-5.040529242717388
MCXCJ1139.4-3327,J1139.4-3327,106,174.86375,-33.45388889,0.1076,1.21861,2.142,0.8789,RXCJ1139.4-3327,,,south,LoVoCCS-106,RXCJ1139.4-3327,174.86,-33.45,0.1076,1.0,yes,,0.0,0.0,7.890430193699152e-06,-5.102899318000148
MCXCJ1332.9-2519,J1332.9-2519,113,203.2325,-25.32388889,0.1199,1.139833,2.0385,0.861,RXCJ1332.9-2519,,X,south,LoVoCCS-113,RXCJ1332.9-2519,203.23,-25.32,0.1199,1.0,yes,Not very clear lensing peak,0.0,0.0,1.792425162473466e-06,-5.746558967991157
MCXCJ0821.0+0751,J0821.0+0751,116,125.2575,7.866111111,0.11,1.110969,2.0211,0.8614,RXCJ0821.0+0751,RXJ0820.9+0751,,south,LoVoCCS-116,RXCJ0821.0+0751,125.26,7.87,0.11,1.0,yes,,1.0,0.969114619080302,3.381173139530806e-06,-5.470932589773249
MCXCJ2125.2-0657,J2125.2-0657,137,321.3016667,-6.965555556,0.1153,1.018847,1.91,0.8438,RXCJ2125.2-0657,,,south,LoVoCCS-137,RXCJ2125.2-0657,321.3,-6.97,0.1153,,partially,,0.0,0.0,7.583798246147648e-06,-5.1201132291708165
MCXCJ1416.8-1158,J1416.8-1158,141,214.2145833,-11.97611111,0.0982,1.001648,1.9133,0.8491,RXCJ1416.8-1158,,X,south,LoVoCCS-141,RXCJ1416.8-1158,214.21,-11.98,0.0982,,no,,0.0,0.864927536231884,-5.208553340469897e-09,
MCXCJ1459.0-0843,J1459.0-0843,142,224.7645833,-8.725,0.1043,1.001337,1.9047,0.8461,RXCJ1459.0-0843,,,south,LoVoCCS-142,RXCJ1459.0-0843,224.76,-8.73,0.1043,,partially,,0.0,0.0,7.628835450945915e-06,-5.117541752455119
