Obs ID,M1S,M1U,M2S,M2U,PNS,PNU,Comments
0401520501,,Bad,,Good,,,"M1 should be similar to M2, PNU looks flared"
0401520601,Good,,Bad,,,,"Mostly flared data, M2 should be similar to M1, PNU is bad"
0401520801,Good,,Good,,Good,,PN is mostly flared though
0401520901,Good,,Good,,Good,,PN is mostly flared though
0401521101,Good,,Good,,Good,,PN is mostly flared though
0401521201,,Good,,Good,,Good,
0401521301,Good,,Good,,Good,,Mostly flared data though
0401521601,,Good,,Good,,,PN is mostly flared though
0401521701,Good,,Good,,Bad,,PN is flared
0401610101,Good,,Good,,Bad,,PN is flared
0401920101,Good,,Good,,Good,,
0402190101,Good,,Good,,Good,,PN is mostly flared though
0402190501,?,,?,,,,
0404240101,Good,,Good,,Good,,
0404520101,,Good,,Good,,Good,
0404520301,,Good,,Good,,Good,Mostly flared data though
0404520501,Good,,Good,,Good,,
0404910101,Good,,Good,,Bad,,PN is flared
0404910201,Good,,Good,,Good,,
0404911301,Good,,Good,,Good,,
0405380701,Good,,Good,,Good,,Mostly flared data though
0406610501,,,,,,,Empty folder
0501850201,Good,,Good,,Good,,
0502670401,?,?,?,?,,,Algorithm might be working? Less observing time
0502671101,Good,,Good,,,,
0502790101,Good,,Good,,,,
0504101801,Good,,Good,,Good,,
0504280101,Good,,Good,,Good,,
0505210201,Good,,Good,,Bad,,Algorithm messed up for PN
0505210601,Good,,Good,,Good,,
0505211001,Good,,Good,,Good,,
0506260301,Good,,Good,,Good,,
0506260401,Good,,Good,,Good,,
0550360101,Good,,Good,,Good,,
0551780201,Good,,Good,,Good,,
0551780301,Good,,Good,,Good,,
0551780401,Good,,Good,,Good,,
0551780501,Good,,Good,,Good,,
0556200101,Good,,Good,,Good,,
0556200301,Good,,Good,,Good,,
0556200501,Good,,Good,,Good,,
0556210501,,Good,,Good,,Good,
0601980101,Good,,Good,,Good,,
0601980201,Good,,Good,,Good,,
0601980301,Good,,Good,,Good,,Latter half of the data is flared
0603050101,Good,,Good,,Good,,
0603050201,Good,,Good,,Good,,
0605880101,Good,,Good,,Good,,
0651590101,Good,,Good,,Good,,
0651590201,Good,,Good,,Good,,Half of the data seems flared though
0671900101,Good,,Good,,Good,,
0672910101,Good,,Good,,Good,,
0674491301,Good,,Good,,Good,,Half of the data seems flared though
0674560201,Good,,Good,,Good,,
0674740201,Good,,Good,,Good,,Half of the data seems flared though
0675470201,,Good,,Good,,Good,"Less observing time for M1 and M2, but algorithm works well?"
0675470301,Good,,Good,,Good,,
0675470401,Good,,Good,,Bad,,Algorithm messed up for PN
0675470501,Good,,Good,,Good,,
0675470601,Good,,Good,,Good,,
0675470701,Good,,Good,,Good,,
0675470801,Good,,Good,,Good,,
0675470901,Bad,,?,,Bad,,Flared data?
0675471001,Good,,Good,,,,Algorithm messed up for PN
0675471201,Good,Good,Bad,Bad,Bad,,M2 should be similar to M1; Algorithm messed up for PN
0675471301,Good,,Good,,Bad,,Mostly flared M1/M2 but algorithm working?; PN is flared
0675471801,Good,,Good,,Good,,
0675471901,Good,,Good,,Good,,
0675472001,Good,,Good,,Good,,
0675472101,Good,,Good,,Good,,
0675472201,Good,,Good,,Good,,
0675472301,Good,,Good,,Good,,Former half of the data is flared though
0675472401,Good,,Good,,Good,,
0675472601,Good,,Good,,Good,,"Most of the data looks flared, but algorithm seems to be working"
0675472901,Good,,Good,,Good,,
0677180101,Good,,Good,,Good,,
0677180201,Good,,Good,,Good,,
0677180301,Good,,Good,,Good,,
0677180401,Good,,Good,,Good,,
0677180501,Good,,Good,,Good,,
0677180601,Good,,Good,,Good,,
0677182301,Good,,Good,,Good,,Former half of the data is flared though
0691010101,Good,,Good,,Good,,
0691010901,Good,,Good,,Good,,Most of the data flared for PN though
0691011001,Good,,Good,,Good,,
0692930901,Good,,Good,,Good,,
0694440101,Good,,Good,,Good,,
0694440201,Good,,Good,,Good,,
0694440301,Good,,Good,,Good,,About 80% of the data is flared though
0694440401,Good,,Good,,Good,,
0694440501,Good,,Good,,Good,,
0694440601,Good,,Good,,Good,,
0694440701,Good,,Good,,Good,,
0694440801,Good,,Good,,Good,,
0720250201,Good,Good,Good,Good,Bad,,Algorithm messed up for PN; Less observing time for others
0720250301,Good,,Good,,Good,,
0720250401,?,,Good,,Good,,70 second observation for M1
0720250501,Good,,Good,,Good,,Mostly flared though for PN
0720250701,Good,,Good,,Good,,
0720250801,Good,,Good,,Good,,Most of the data is flared
0720251101,Good,,Good,,Bad,,PN is flared
0720251201,Good,,Good,,Good,,
0720251301,Good,,Good,,Good,,
0720252201,Good,,Good,,Good,,
0720252501,Good,,Good,,Good,,
0720252901,Good,,Good,,Bad,,PN is flared
0720253101,Good,,Good,,Good,,
0721740101,Good,,Good,,Good,,
0723800801,Good,,Good,,Good,,
0723800901,Good,,Good,,Good,,
0723801001,Good,,Good,,Good,,
0723801101,Good,,Good,,Good,,
0723801201,Good,,Good,,Good,,
0723801301,Good,,Good,,Good,,
0723801501,Good,,Good,,Good,,
0723801601,Bad,Bad,Bad,Bad,Bad,,Algorithm not working well
0723801701,Good,,Good,,Good,,
0723802001,Good,,Good,,,Good,Former half of the data for PN is flared
0723802101,Good,,Good,,Good,,
0723802201,Good,,Good,,Good,,
0725240101,Good,,Good,,Good,,
0740900101,Good,,Good,,Good,,
0741200101,Good,,Good,,Good,,
0744220401,Good,,Good,,Good,,Corner light curve missing for PN? ERROR--YMIN = YMAX in window   3
0744410501,Good,,Good,,Good,,
0744410601,Good,,Good,,Good,,
0744410701,Good,,Good,,Good,,
0744410801,Bad,,Bad,,Bad,,Algorithm didn't work well
0744410901,Good,,Good,,Good,,
0744411001,Good,,Good,,Good,,
0744411101,Good,,Good,,Good,,
0744411201,Good,,Good,,Good,,
0744411301,Good,,Good,,Good,,
0744411401,Good,,Good,,Good,,
0744411501,Good,,Good,,Good,,
0744411601,Good,,Good,,Good,,
0744411701,Good,,Good,,Good,,
0744411801,Good,,Good,,Good,,
0744411901,Good,,Good,,Good,,
0744412001,Good,,Good,,Good,,
0744412101,Good,,Good,,Good,,
0744412701,Good,,Good,,Good,,
0744412801,Good,,Good,,Good,,
0744412901,Good,,Good,,Good,,
0744413001,,Good,,Good,,Good,
0744413101,Good,,Good,,Good,,
0744413201,Good,,Good,,Good,,
0744413301,Good,,Good,,Good,,
0744413401,Good,,Good,,Good,,
0744930101,Good,,Good,,,Good,
0744930201,Good,,Good,,Good,,
0744930301,Good,,Good,,Good,,
0744930401,Good,,Good,,Good,,
0760340201,Good,,Good,,Good,,
0760940101,Good,,Good,,Good,,
0761550101,Good,Good,Good,Good,,Good,
0761550201,Good,,Good,,Good,,
0762470101,Good,,Good,,Good,,
