lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,235.2215642,142.9184846,72.95086608,142.9587081,71.87065304,142.9587081
0.1,2.4,319.3591453,232.7907716,91.46716952,232.7934567,88.30828648,232.7934567
0.01,100.0,373.7196877,409.8841044,110.9973122,418.9006042,108.2505521,418.9006042
