lo_en,hi_en,rate_0880810201PN,Lx_0880810201PN,rate_0880810201MOS1,Lx_0880810201MOS1,rate_0880810201MOS2,Lx_0880810201MOS2
0.5,2.0,221.1834767,172.5597766,69.29900661,172.5375604,68.32610176,172.5375604
0.1,2.4,293.2151886,280.2755633,85.92851926,280.2800771,83.2760785,280.2800771
0.01,100.0,350.8624541,528.3958271,107.0453748,535.6471021,104.905081,535.6471021
